# Numero de nós #
8
# Numero de Patamares #
2
# Custo #
0.0 270.0 70.0 106.301 183.847 278.926 392.173 299.666
270.0 0.0 278.926 202.484 122.065 70.0 164.012 130.0
70.0 278.926 0.0 80.0 170.0 270.0 374.833 276.586
106.301 202.484 80.0 0.0 90.0 190.0 296.141 199.248
183.847 122.065 170.0 90.0 0.0 100.0 208.806 116.619
278.926 70.0 270.0 190.0 100.0 0.0 116.619 60.0
392.173 164.012 374.833 296.141 208.806 116.619 0.0 100.0
299.666 130.0 276.586 199.248 116.619 60.0 100.0 0.0
0.00 297.00 77.00 116.93 202.23 306.82 431.39 329.63
297.00 0.00 306.82 222.73 134.27 77.00 180.41 143.00
77.00 306.82 0.00 88.00 187.00 297.00 412.32 304.24
116.93 222.73 88.00 0.00 99.00 209.00 325.76 219.17
202.23 134.27 187.00 99.00 0.00 110.00 229.69 128.28
306.82 77.00 297.00 209.00 110.00 0.00 128.28 66.00
431.39 180.41 412.32 325.76 229.69 128.28 0.00 110.00
329.63 143.00 304.24 219.17 128.28 66.00 110.00 0.00
0.00 324.00 84.00 127.56 220.62 334.71 470.61 359.60
324.00 0.00 334.71 242.98 146.48 84.00 196.81 156.00
84.00 334.71 0.00 96.00 204.00 324.00 449.80 331.90
127.56 242.98 96.00 0.00 108.00 228.00 355.37 239.10
220.62 146.48 204.00 108.00 0.00 120.00 250.57 139.94
334.71 84.00 324.00 228.00 120.00 0.00 139.94 72.00
470.61 196.81 449.80 355.37 250.57 139.94 0.00 120.00
359.60 156.00 331.90 239.10 139.94 72.00 120.00 0.00
# t #
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3
# Limite de pedágios #
14
# u #
0 25900.20064 23403.47319 0 0 0 0 0
25900.20064 0 0 0 0 4958.180928 0 0
23403.47319 0 0 17110.52372 0 0 0 0
0 0 17110.52372 0 17782.7941 0 0 0
0 0 0 17782.7941 0 4947.995469 0 0
0 4958.180928 0 0 4947.995469 0 0 4898.587646
0 0 0 0 0 0 0 7841.81131
0 0 0 0 0 4898.587646 7841.81131 0
# Demanda #
0.0 100.0 100.0 500.0 200.0 300.0 500.0 800.0
100.0 0.0 100.0 200.0 100.0 400.0 200.0 400.0
100.0 100.0 0.0 200.0 100.0 300.0 100.0 200.0
500.0 200.0 200.0 0.0 500.0 400.0 400.0 700.0
200.0 100.0 100.0 500.0 0.0 200.0 200.0 500.0
300.0 400.0 300.0 400.0 200.0 0.0 400.0 800.0
500.0 200.0 100.0 400.0 200.0 400.0 0.0 1000.0
800.0 400.0 200.0 700.0 500.0 800.0 1000.0 0.0
