# Numero de nós #
12
# Numero de Patamares #
2
# Custo #
0.0 270.0 70.0 106.301 183.847 278.926 392.173 299.666 214.009 254.95 206.155 190.0
270.0 0.0 278.926 202.484 122.065 70.0 164.012 130.0 164.012 214.709 268.7 330.151
70.0 278.926 0.0 80.0 170.0 270.0 374.833 276.586 180.277 208.086 144.222 120.0
106.301 202.484 80.0 0.0 90.0 190.0 296.141 199.248 108.166 150.0 120.0 144.222
183.847 122.065 170.0 90.0 0.0 100.0 208.806 116.619 60.0 120.0 150.0 208.086
278.926 70.0 270.0 190.0 100.0 0.0 116.619 60.0 116.619 156.204 224.722 295.465
392.173 164.012 374.833 296.141 208.806 116.619 0.0 100.0 200.0 208.806 296.141 374.833
299.666 130.0 276.586 199.248 116.619 60.0 100.0 0.0 100.0 116.619 199.248 276.586
214.009 164.012 180.277 108.166 60.0 116.619 200.0 100.0 0.0 60.0 108.166 180.277
254.95 214.709 208.086 150.0 120.0 156.204 208.806 116.619 60.0 0.0 90.0 170.0
206.155 268.7 144.222 120.0 150.0 224.722 296.141 199.248 108.166 90.0 0.0 80.0
190.0 330.151 120.0 144.222 208.086 295.465 374.833 276.586 180.277 170.0 80.0 0.0
0.00 297.00 77.00 116.93 202.23 306.82 431.39 329.63 235.41 280.44 226.77 209.00
297.00 0.00 306.82 222.73 134.27 77.00 180.41 143.00 180.41 236.18 295.57 363.17
77.00 306.82 0.00 88.00 187.00 297.00 412.32 304.24 198.30 228.89 158.64 132.00
116.93 222.73 88.00 0.00 99.00 209.00 325.76 219.17 118.98 165.00 132.00 158.64
202.23 134.27 187.00 99.00 0.00 110.00 229.69 128.28 66.00 132.00 165.00 228.89
306.82 77.00 297.00 209.00 110.00 0.00 128.28 66.00 128.28 171.82 247.19 325.01
431.39 180.41 412.32 325.76 229.69 128.28 0.00 110.00 220.00 229.69 325.76 412.32
329.63 143.00 304.24 219.17 128.28 66.00 110.00 0.00 110.00 128.28 219.17 304.24
235.41 180.41 198.30 118.98 66.00 128.28 220.00 110.00 0.00 66.00 118.98 198.30
280.44 236.18 228.89 165.00 132.00 171.82 229.69 128.28 66.00 0.00 99.00 187.00
226.77 295.57 158.64 132.00 165.00 247.19 325.76 219.17 118.98 99.00 0.00 88.00
209.00 363.17 132.00 158.64 228.89 325.01 412.32 304.24 198.30 187.00 88.00 0.00
0.00 324.00 84.00 127.56 220.62 334.71 470.61 359.60 256.81 305.94 247.39 228.00
324.00 0.00 334.71 242.98 146.48 84.00 196.81 156.00 196.81 257.65 322.44 396.18
84.00 334.71 0.00 96.00 204.00 324.00 449.80 331.90 216.33 249.70 173.07 144.00
127.56 242.98 96.00 0.00 108.00 228.00 355.37 239.10 129.80 180.00 144.00 173.07
220.62 146.48 204.00 108.00 0.00 120.00 250.57 139.94 72.00 144.00 180.00 249.70
334.71 84.00 324.00 228.00 120.00 0.00 139.94 72.00 139.94 187.44 269.67 354.56
470.61 196.81 449.80 355.37 250.57 139.94 0.00 120.00 240.00 250.57 355.37 449.80
359.60 156.00 331.90 239.10 139.94 72.00 120.00 0.00 120.00 139.94 239.10 331.90
256.81 196.81 216.33 129.80 72.00 139.94 240.00 120.00 0.00 72.00 129.80 216.33
305.94 257.65 249.70 180.00 144.00 187.44 250.57 139.94 72.00 0.00 108.00 204.00
247.39 322.44 173.07 144.00 180.00 269.67 355.37 239.10 129.80 108.00 0.00 96.00
228.00 396.18 144.00 173.07 249.70 354.56 449.80 331.90 216.33 204.00 96.00 0.00
# t #
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3
# Limite de pedágios #
33
# u #
0 25900.20064 23403.47319 0 0 0 0 0 0 0 0 0
25900.20064 0 0 0 0 4958.180928 0 0 0 0 0 0
23403.47319 0 0 17110.52372 0 0 0 0 0 0 0 23403.47319
0 0 17110.52372 0 17782.7941 0 0 0 0 0 4908.82673 0
0 0 0 17782.7941 0 4947.995469 0 0 10000.0 0 0 0
0 4958.180928 0 0 4947.995469 0 0 4898.587646 0 0 0 0
